task,phase,learner,seed,hidden,second_hidden_or_gru,gru_size,optimizer,learning_rate,lr_schedule,gamma,gae_lambda,ppo_clip,entropy_coefficient,value_coefficient,ppo_epochs,minibatch_count,parallel_envs,ticks,readout,training_transitions,imitation_transitions,score,state_dependence,action_distribution,policy_entropy,finite,wall_seconds,peak_memory_mb,checkpoint,checkpoint_sha256,result_sha256,failure_reason,last_update
flappy,rescue,gru,0,128,64,64,Adam,0.0003,linear decay to 5 percent floor,0.99,0.95,0.2,0.003,0.5,4,8,16,4,descending,131072,8192,0.2333333333333333,0.050000000000000044,"[0.8859857482185273, 0.11401425178147269]",0.17346845677711817,True,32.73910112504382,326.484375,runs/v14/flappy-rescue-gru-s0/checkpoint.pkl,0039a46c8e52c656387c92cf069b586e47bcc7cab846c741003f634c49e48405,e9cb84273377d4d8dc9a6f622ccaad79fdcfc9b262a2387b706733e5fa62b56b,,"{""update"": 64, ""transitions"": 131072, ""episodes"": 3394, ""level"": ""target"", ""lr"": 1.4999999999999999e-05, ""wall_seconds"": 32.73910112504382, ""transitions_per_second"": 3970.533777116049, ""train_success"": 0.2783333333333333, ""train_return"": 1.2886415514060596, ""rollout_action_fractions"": [1817, 231], ""loss"": 0.18897065504172694, ""policy_loss"": -0.0015979920224033408, ""value_loss"": 0.3820652655731511, ""entropy"": 0.15466190748176312, ""approx_kl"": 3.948832420288711e-05, ""clip_fraction"": 0.0001220703125, ""grad_norm"": 0.6931260612016161, ""minibatch_updates"": 32, ""finite"": true}"
flappy,rescue,gru,1,128,64,64,Adam,0.0003,linear decay to 5 percent floor,0.99,0.95,0.2,0.003,0.5,4,8,16,4,descending,131072,8192,0.25833333333333336,0.125,"[0.8897122929380994, 0.11028770706190061]",0.17284455273022423,True,33.05944550031563,323.3125,runs/v14/flappy-rescue-gru-s1/checkpoint.pkl,372b3b751f9ce7d0aa2a48693f01051dfc8bb499b2c4857e731ed578ee7d91e1,11d4345b3e15ab686909c77c9640379f1818b2a42db2d367cbffeb9403567ee5,,"{""update"": 64, ""transitions"": 131072, ""episodes"": 3767, ""level"": ""target"", ""lr"": 1.4999999999999999e-05, ""wall_seconds"": 33.05944550031563, ""transitions_per_second"": 3904.7830924268196, ""train_success"": 0.25, ""train_return"": 1.0830175377544755, ""rollout_action_fractions"": [1817, 231], ""loss"": 0.14419586510289323, ""policy_loss"": -0.0018032350302236155, ""value_loss"": 0.2929989327635432, ""entropy"": 0.1667887495515985, ""approx_kl"": 9.558848908292983e-05, ""clip_fraction"": 0.0006103515625, ""grad_norm"": 0.6549174538537315, ""minibatch_updates"": 32, ""finite"": true}"
flappy,rescue,gru,2,128,64,64,Adam,0.0003,linear decay to 5 percent floor,0.99,0.95,0.2,0.003,0.5,4,8,16,4,descending,131072,8192,0.4041666666666666,0.30000000000000004,"[0.8890356671070013, 0.11096433289299867]",0.18326372959570617,True,33.127145579026546,330.890625,runs/v14/flappy-rescue-gru-s2/checkpoint.pkl,dc4b552cac513f3a7d4789aee31efb90c1535341a75a9cad1e147741da00bb7a,426d7f867553c3fb07ada311aceb919d572862780478df8eb5086c6582e12cfd,,"{""update"": 64, ""transitions"": 131072, ""episodes"": 3425, ""level"": ""target"", ""lr"": 1.4999999999999999e-05, ""wall_seconds"": 33.127145579026546, ""transitions_per_second"": 3964.4093600706788, ""train_success"": 0.325, ""train_return"": 1.6800754160391977, ""rollout_action_fractions"": [1810, 238], ""loss"": 0.17479295535043654, ""policy_loss"": -0.00210305699179633, ""value_loss"": 0.35481897768554665, ""entropy"": 0.17115883351349168, ""approx_kl"": 6.006367383768746e-05, ""clip_fraction"": 0.0, ""grad_norm"": 0.6686085682224832, ""minibatch_updates"": 32, ""finite"": true}"
