task,condition,before,after,change,change_lo,change_hi,seed0,seed1,seed2,random,heuristic,state_dependence
catch,eprop,0.2056,0.6611,0.4556,0.3875,0.5667,0.6333,0.5917,0.7583,0.1972,1.0000,0.4417
catch,frozen,0.2056,0.2056,0.0000,0.0000,0.0000,0.2208,0.2042,0.1917,0.1972,1.0000,0.0000
catch,rewired,0.2056,0.8167,0.6111,0.5083,0.7375,0.9583,0.7125,0.7792,0.1972,1.0000,0.4861
dodge,eprop,0.7944,0.9264,0.1319,0.1208,0.1542,0.9000,0.9167,0.9625,0.8028,1.0000,0.4017
dodge,frozen,0.7944,0.7944,0.0000,0.0000,0.0000,0.7792,0.7958,0.8083,0.8028,1.0000,0.0000
dodge,rewired,0.7944,0.9375,0.1431,0.0833,0.2000,0.9792,0.9417,0.8917,0.8028,1.0000,0.4181
