task,perturbation,mean,lo,hi,seed0,seed1,seed2
catch,after,0.6611,0.5917,0.7583,0.6333,0.5917,0.7583
catch,sensory_noise_0.1,0.4528,0.4083,0.5375,0.4125,0.4083,0.5375
catch,edge_ablation_0.1,0.6167,0.5000,0.7458,0.6042,0.5000,0.7458
catch,neuron_ablation_0.1,0.3292,0.2583,0.3833,0.3833,0.2583,0.3458
dodge,after,0.9264,0.9000,0.9625,0.9000,0.9167,0.9625
dodge,sensory_noise_0.1,0.9139,0.8750,0.9542,0.9542,0.8750,0.9125
dodge,edge_ablation_0.1,0.9236,0.9000,0.9375,0.9000,0.9333,0.9375
dodge,neuron_ablation_0.1,0.9389,0.9083,0.9875,0.9083,0.9875,0.9208
